uid,education,department,grade,gender,headpic,politicalstatus,religion,sourcearea,residence,fatherage,fathereducation,motherage,mothereducation,brothersistercount,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,nativeplace,fathersta,mothersta
7218,7,28,6,1,8,4,1,24,2,45,4,44,6,0,1,1,2,2,2,8,1,1
7219,7,28,6,1,9,4,1,25,2,48,7,45,7,0,1,1,2,2,2,25,1,1
7220,7,46,6,0,1,4,1,15,2,47,7,41,7,0,1,1,2,2,2,15,1,1
7221,7,46,6,0,9,3,1,14,2,44,7,45,7,0,1,1,1,2,2,14,1,1
7222,7,46,6,1,1,4,1,14,2,45,8,45,7,0,1,1,2,2,2,14,1,1
7223,7,46,6,0,1,4,1,4,2,47,7,48,7,0,1,1,2,2,2,4,1,1
7224,7,25,6,1,1,2,3,36,2,53,7,50,4,1,1,1,2,2,2,36,1,1
7225,7,25,6,0,2,2,1,36,2,48,7,58,8,0,2,1,2,2,2,36,1,1
7227,7,25,6,1,1,2,5,2,2,55,7,52,7,1,1,1,2,2,2,36,1,1
7229,7,28,6,1,1,2,1,36,2,50,7,47,7,1,2,1,2,2,2,36,1,1
7230,7,28,6,0,1,2,1,36,2,51,9,51,9,2,4,1,2,2,2,36,1,1
7231,7,28,6,1,7,2,1,36,2,50,7,47,7,2,1,1,2,2,2,36,1,1
7232,7,28,6,1,2,2,1,36,2,48,7,46,7,2,1,1,2,2,2,36,1,1
7233,7,4,6,1,8,4,1,30,2,46,7,44,7,0,1,1,2,1,2,32,1,1
7234,7,28,6,1,4,4,1,16,2,51,4,51,4,0,1,1,2,2,2,16,1,1
7236,7,4,6,1,1,4,1,26,2,50,7,47,6,0,4,1,2,2,2,26,1,1
7243,7,12,6,1,2,3,1,25,2,42,7,42,7,0,1,1,2,2,2,25,1,1
7244,7,4,6,1,7,4,2,19,2,47,4,41,3,0,1,1,2,2,2,4,1,1
7245,7,4,6,1,1,4,1,13,2,48,6,43,7,0,1,1,2,2,2,13,1,1
7246,7,4,6,1,4,4,1,13,2,48,7,46,8,0,1,1,2,2,2,13,1,1
7247,7,4,6,1,1,4,1,13,2,48,7,46,7,0,1,1,2,2,2,13,1,1
7248,7,4,6,0,7,4,1,9,2,47,7,47,7,0,1,1,1,2,2,9,1,1
7249,7,4,6,1,2,4,1,27,2,46,6,43,4,0,2,1,2,2,2,27,1,1
7250,7,48,6,0,1,4,1,31,2,45,6,40,1,0,4,1,2,2,2,31,2,1
7251,7,48,6,1,1,4,1,31,2,43,3,42,3,0,1,1,1,2,2,7,1,1
7252,7,48,6,1,3,4,1,31,2,43,7,41,6,0,1,1,1,2,2,31,1,1
7253,7,24,6,0,3,4,1,13,2,51,7,41,4,1,1,1,1,2,2,13,1,1
7254,7,4,6,1,7,4,1,6,2,46,6,44,7,1,1,1,2,2,2,6,1,1
7255,7,4,6,1,1,4,1,6,2,51,7,44,7,0,1,1,2,2,2,6,1,1
7256,7,4,6,1,1,4,1,7,2,44,7,43,7,0,2,1,2,2,2,7,1,1
7257,7,4,6,1,3,4,1,10,2,46,7,46,7,0,1,1,2,2,2,10,1,1
7258,7,4,6,1,1,4,1,29,2,45,9,44,4,1,4,1,2,2,2,25,1,1
7259,7,4,6,1,1,3,1,29,2,44,7,43,8,1,1,1,2,2,2,29,1,1
7260,7,4,6,1,1,4,1,2,2,44,7,45,7,0,1,1,2,2,2,3,1,1
7261,7,48,6,0,8,4,1,13,2,51,7,46,7,0,1,1,2,2,2,13,1,1
7262,7,48,6,1,1,4,1,9,2,49,6,47,6,1,1,1,2,2,2,9,1,1
7263,7,48,6,1,1,4,1,9,2,52,1,47,1,0,1,1,2,2,2,9,1,1
7264,7,48,6,1,8,2,1,6,2,45,7,44,8,0,1,1,2,2,2,6,1,1
7265,7,4,6,1,2,4,1,2,2,51,8,46,8,0,1,1,2,2,2,23,1,1
7267,7,4,6,1,1,2,1,25,2,50,9,41,7,1,1,1,2,2,2,25,1,1
7269,7,4,6,1,2,4,1,14,1,41,4,40,3,2,1,1,2,2,2,14,1,1
7270,7,4,6,0,2,4,1,32,2,45,7,44,8,0,1,1,2,2,2,32,1,1
7271,7,48,6,1,1,2,1,2,2,53,6,50,1,0,1,1,2,2,2,2,1,1
7273,7,48,6,0,5,4,1,7,2,47,7,45,7,0,1,1,1,2,2,7,1,1
7274,7,48,6,1,2,4,1,29,2,51,7,46,9,0,1,1,1,2,2,29,1,1
7276,7,4,6,0,9,4,1,2,2,46,8,44,8,0,1,1,2,2,2,2,1,1
7277,7,4,6,1,10,4,1,2,2,47,8,46,7,0,1,1,2,2,2,31,1,1
7278,7,48,6,1,1,4,1,29,2,51,3,44,3,0,1,1,2,2,2,29,1,1
7281,7,46,6,1,1,4,1,4,1,45,3,45,3,0,1,1,2,2,2,4,1,1
7282,7,4,6,1,1,4,1,4,2,42,7,43,7,2,1,1,2,2,2,4,1,1
7283,7,4,6,0,1,4,1,23,2,48,7,41,7,0,1,1,2,2,2,23,1,1
7284,7,4,6,1,8,4,1,28,2,48,6,44,7,0,1,1,2,2,2,28,1,1
7285,7,10,6,1,2,2,1,6,2,50,3,44,6,0,1,1,2,1,2,6,1,1
7286,7,10,6,1,1,4,1,4,2,44,9,46,7,0,1,1,2,1,2,4,1,1
7287,7,10,6,1,1,4,1,12,2,56,4,56,4,1,2,1,2,1,2,11,1,1
7288,7,10,6,1,1,4,1,12,2,46,7,43,7,0,1,1,2,1,2,12,1,1
7289,7,48,6,1,2,4,1,23,2,45,6,44,8,0,1,1,1,2,2,23,1,1
7290,7,126,6,0,6,4,1,29,2,44,7,45,7,0,1,1,1,2,2,25,1,1
7291,7,10,6,1,1,4,1,12,2,45,6,43,4,0,1,1,2,1,2,12,1,1
7292,7,10,6,1,10,4,1,12,2,43,4,40,3,0,1,1,2,1,2,12,1,1
7294,7,10,6,1,1,4,1,6,2,50,2,44,3,0,1,1,2,2,2,6,1,1
7295,7,48,6,1,1,4,1,15,2,46,7,45,7,0,1,1,2,2,2,15,1,1
7296,7,48,6,1,8,4,1,25,2,48,7,45,6,0,1,1,1,2,2,25,1,1
7297,7,48,6,1,1,3,1,25,2,45,4,45,6,0,1,1,1,2,2,23,1,1
7298,7,48,6,1,1,4,1,25,2,45,3,44,3,1,1,1,2,2,2,25,1,1
7299,7,48,6,0,1,4,1,25,2,46,7,45,7,0,1,1,1,2,2,25,1,1
7300,7,10,6,0,9,4,1,10,2,47,7,48,7,0,1,1,1,2,2,10,1,1
7301,7,10,6,1,1,4,1,5,2,46,4,46,6,0,1,1,2,2,2,5,1,1
7302,7,48,6,1,1,4,1,32,2,45,4,44,6,1,1,1,1,2,2,3,1,1
7304,7,10,6,1,1,2,1,17,2,47,6,47,6,2,1,1,2,2,2,15,1,1
7305,7,10,6,1,1,2,1,14,2,43,4,43,6,0,1,1,2,2,2,14,1,1
7306,7,10,6,1,1,4,1,32,2,47,7,46,4,0,1,1,1,2,2,30,1,1
